state,uninsured_rate,total_population,uninsured_population
Alabama,8.2,5073710,416044
Alaska,11.0,705677,77624
Arizona,10.3,7473360,769756
Arkansas,9.4,3032793,285083
California,5.9,38978900,2299755
Colorado,7.9,5858923,462855
Connecticut,5.8,3630971,210596
Delaware,6.9,1037354,71577
District of Columbia,4.5,691979,31139
Florida,10.9,23038465,2511193
Georgia,12.0,10988839,1318661
Hawaii,3.5,1386888,48541
Idaho,9.2,1974726,181675
Illinois,6.9,12537506,865088
Indiana,7.5,6828838,512163
Iowa,5.4,3195952,172581
Kansas,8.5,2907131,247106
Kentucky,6.8,4507797,306530
Louisiana,7.7,4505220,346902
Maine,5.5,1386357,76250
Maryland,6.3,6167570,388557
Massachusetts,2.8,7070822,197983
Michigan,5.1,10033412,511704
Minnesota,5.1,5732348,292350
Mississippi,9.7,2883778,279726
Missouri,7.7,6143552,473054
Montana,8.8,1121105,98657
Nebraska,7.1,1977209,140382
Nevada,11.4,3228647,368066
New Hampshire,4.5,1392859,62679
New Jersey,7.7,9413695,724855
New Mexico,10.1,2091891,211281
New York,5.0,19666716,983336
North Carolina,8.6,10837928,932062
North Dakota,6.1,777259,47413
Ohio,6.7,11714170,784849
Oklahoma,11.5,4009467,461089
Oregon,5.2,4227347,219822
Pennsylvania,5.8,12893583,747828
Rhode Island,4.6,1096654,50446
South Carolina,9.0,5379981,484198
South Dakota,8.1,905334,73332
Tennessee,9.7,7131213,691728
Texas,16.7,30799313,5143485
Utah,8.3,3476732,288569
Vermont,4.2,642759,26996
Virginia,6.9,8580424,592049
Washington,6.5,7843290,509814
West Virginia,5.8,1736098,100694
Wisconsin,5.3,5897068,312545
Wyoming,10.3,576912,59422
