state,uninsured_rate,total_population,uninsured_population,median_income,monthly_income
Alabama,8.2,5073710,416044,66659,5555
Alaska,11.0,705677,77624,95665,7972
Arizona,10.3,7473360,769756,81486,6790
Arkansas,9.4,3032793,285083,62106,5176
California,5.9,38978900,2299755,100149,8346
Colorado,7.9,5858923,462855,97113,8093
Connecticut,5.8,3630971,210596,96049,8004
Delaware,6.9,1037354,71577,87534,7294
District of Columbia,4.5,691979,31139,109707,9142
Florida,10.9,23038465,2511193,77735,6478
Georgia,12.0,10988839,1318661,79991,6666
Hawaii,3.5,1386888,48541,100745,8395
Idaho,9.2,1974726,181675,81166,6764
Illinois,6.9,12537506,865088,83211,6934
Indiana,7.5,6828838,512163,71959,5997
Iowa,5.4,3195952,172581,75501,6292
Kansas,8.5,2907131,247106,75514,6293
Kentucky,6.8,4507797,306530,64526,5377
Louisiana,7.7,4505220,346902,60986,5082
Maine,5.5,1386357,76250,76442,6370
Maryland,6.3,6167570,388557,102905,8575
Massachusetts,2.8,7070822,197983,104828,8736
Michigan,5.1,10033412,511704,72389,6032
Minnesota,5.1,5732348,292350,87117,7260
Mississippi,9.7,2883778,279726,59127,4927
Missouri,7.7,6143552,473054,71589,5966
Montana,8.8,1121105,98657,75340,6278
Nebraska,7.1,1977209,140382,76376,6365
Nevada,11.4,3228647,368066,81134,6761
New Hampshire,4.5,1392859,62679,99782,8315
New Jersey,7.7,9413695,724855,104294,8691
New Mexico,10.1,2091891,211281,67816,5651
New York,5.0,19666716,983336,85820,7152
North Carolina,8.6,10837928,932062,73958,6163
North Dakota,6.1,777259,47413,77871,6489
Ohio,6.7,11714170,784849,72212,6018
Oklahoma,11.5,4009467,461089,66148,5512
Oregon,5.2,4227347,219822,85220,7102
Pennsylvania,5.8,12893583,747828,77545,6462
Rhode Island,4.6,1096654,50446,83504,6959
South Carolina,9.0,5379981,484198,72350,6029
South Dakota,8.1,905334,73332,76881,6407
Tennessee,9.7,7131213,691728,71997,6000
Texas,16.7,30799313,5143485,79721,6643
Utah,8.3,3476732,288569,96658,8055
Vermont,4.2,642759,26996,82730,6894
Virginia,6.9,8580424,592049,92090,7674
Washington,6.5,7843290,509814,99389,8282
West Virginia,5.8,1736098,100694,60798,5066
Wisconsin,5.3,5897068,312545,77488,6457
Wyoming,10.3,576912,59422,75532,6294
