state,median_income,monthly_income,poverty_rate,poverty_population,uninsured_rate,uninsured_population,coverage_base_population,poverty_base_population
Alabama,66659,5555,16.7,795989,8.2,417848,5073710,4754288
Alaska,95665,7972,10.7,76933,11.0,77532,705677,719376
Arizona,81486,6790,15.1,1043764,10.3,767380,7473360,6891224
Arkansas,62106,5176,17.0,496260,9.4,284915,3032793,2910954
California,100149,8346,13.4,5149742,5.9,2314464,38978900,38535926
Colorado,97113,8093,10.3,565873,7.9,463722,5858923,5489133
Connecticut,96049,8004,9.9,344146,5.8,211726,3630971,3470087
Delaware,87534,7294,11.8,109400,6.9,71608,1037354,930764
District of Columbia,109707,9142,16.2,107140,4.5,31061,691979,659676
Florida,77735,6478,14.0,2870487,10.9,2509782,23038465,20481252
Georgia,79991,6666,15.1,1528558,12.0,1314223,10988839,10130335
Hawaii,100745,8395,9.4,130649,3.5,47926,1386888,1384184
Idaho,81166,6764,13.1,221256,9.2,181552,1974726,1686285
Illinois,83211,6934,12.5,1557873,6.9,860898,12537506,12474842
Indiana,71959,5997,13.4,867996,7.5,512807,6828838,6461389
Iowa,75501,6292,11.5,348122,5.4,174113,3195952,3040184
Kansas,75514,6293,12.0,337739,8.5,248116,2907131,2826056
Kentucky,64526,5377,17.3,747010,6.8,308763,4507797,4309501
Louisiana,60986,5082,19.2,871467,7.7,348045,4505220,4532714
Maine,76442,6370,11.8,153131,5.5,76864,1386357,1298787
Maryland,102905,8575,9.2,539991,6.3,390741,6167570,5876434
Massachusetts,104828,8736,10.3,680962,2.8,198589,7070822,6615375
Michigan,72389,6032,14.4,1398527,5.1,507760,10033412,9741628
Minnesota,87117,7260,9.7,526065,5.1,290828,5732348,5440087
Mississippi,59127,4927,20.3,585786,9.7,279879,2883778,2886767
Missouri,71589,5966,13.7,810045,7.7,474886,6143552,5922570
Montana,75340,6278,13.1,134605,8.8,98102,1121105,1025221
Nebraska,76376,6365,11.1,206579,7.1,139831,1977209,1859691
Nevada,81134,6761,13.1,384690,11.4,366606,3228647,2929882
New Hampshire,99782,8315,7.6,98682,4.5,62323,1392859,1305013
New Jersey,104294,8691,10.0,869081,7.7,727278,9413695,8706202
New Mexico,67816,5651,19.1,392065,10.1,211289,2091891,2049986
New York,85820,7152,14.1,2681277,5.0,973715,19666716,19063180
North Carolina,73958,6163,14.7,1467591,8.6,927893,10837928,9984891
North Dakota,77871,6489,10.7,78198,6.1,47118,777259,732326
Ohio,72212,6018,14.0,1588343,6.7,782626,11714170,11331030
Oklahoma,66148,5512,15.7,598373,11.5,461884,4009467,3817368
Oregon,85220,7102,13.2,533527,5.2,219386,4227347,4052019
Pennsylvania,77545,6462,12.4,1539183,5.8,752566,12893583,12380284
Rhode Island,83504,6959,12.4,125826,4.6,50647,1096654,1016506
South Carolina,72350,6029,15.2,741650,9.0,481968,5379981,4877884
South Dakota,76881,6407,13.1,110553,8.1,73403,905334,841207
Tennessee,71997,6000,15.2,996930,9.7,690683,7131213,6542792
Texas,79721,6643,14.7,4072194,16.7,5152427,30799313,27637858
Utah,96658,8055,9.8,298537,8.3,288681,3476732,3048871
Vermont,82730,6894,10.9,65652,4.2,27102,642759,599618
Virginia,92090,7674,10.6,865691,6.9,595595,8580424,8201608
Washington,99389,8282,10.8,785244,6.5,511691,7843290,7266810
West Virginia,60798,5066,17.6,310044,5.8,100543,1736098,1765715
Wisconsin,77488,6457,11.3,639160,5.3,310536,5897068,5642353
Wyoming,75532,6294,11.0,62257,10.3,59332,576912,566918
