state,median_income,monthly_income
Alabama,66659,5555
Alaska,95665,7972
Arizona,81486,6790
Arkansas,62106,5176
California,100149,8346
Colorado,97113,8093
Connecticut,96049,8004
Delaware,87534,7294
District of Columbia,109707,9142
Florida,77735,6478
Georgia,79991,6666
Hawaii,100745,8395
Idaho,81166,6764
Illinois,83211,6934
Indiana,71959,5997
Iowa,75501,6292
Kansas,75514,6293
Kentucky,64526,5377
Louisiana,60986,5082
Maine,76442,6370
Maryland,102905,8575
Massachusetts,104828,8736
Michigan,72389,6032
Minnesota,87117,7260
Mississippi,59127,4927
Missouri,71589,5966
Montana,75340,6278
Nebraska,76376,6365
Nevada,81134,6761
New Hampshire,99782,8315
New Jersey,104294,8691
New Mexico,67816,5651
New York,85820,7152
North Carolina,73958,6163
North Dakota,77871,6489
Ohio,72212,6018
Oklahoma,66148,5512
Oregon,85220,7102
Pennsylvania,77545,6462
Rhode Island,83504,6959
South Carolina,72350,6029
South Dakota,76881,6407
Tennessee,71997,6000
Texas,79721,6643
Utah,96658,8055
Vermont,82730,6894
Virginia,92090,7674
Washington,99389,8282
West Virginia,60798,5066
Wisconsin,77488,6457
Wyoming,75532,6294
